"motif"	"motif length"	"p_value"
"259"	"Gata1"	11	0.736084639245109
"260"	"STAT1"	11	0.736084639245109
"261"	"Bach1Mafk"	15	0.736084639245109
"262"	"NFAT5"	10	0.736084639245109
"263"	"LIN54"	9	0.736084639245109
"264"	"NFATC1"	10	0.736084639245109
"265"	"NFATC3"	10	0.736084639245109
"266"	"ZIC3"	15	0.736084639245109
"267"	"MTF1"	14	0.736084639245109
"268"	"Sox2"	8	0.742432480399271
"269"	"MEIS1"	7	0.803148762739079
"270"	"MSX2"	8	0.814290926101782
"271"	"BSX"	8	0.814290926101782
"272"	"VSX1"	8	0.850332246917389
"273"	"TEAD3"	8	0.850332246917389
"274"	"MZF1"	6	0.924264799828723
"275"	"Ddit3Cebpa"	12	1
"276"	"FOXF2"	14	1
"277"	"MAXMYC"	11	1
"278"	"PPARG"	20	1
"279"	"Pax6"	14	1
"280"	"RORA"	10	1
"281"	"RORAvar2"	14	1
"282"	"RXRAVDR"	15	1
"283"	"TAL1TCF3"	12	1
"284"	"TBP"	15	1
"285"	"HLTF"	10	1
"286"	"NR1H2RXRA"	17	1
"287"	"Lhx3"	13	1
"288"	"Pou5f1Sox2"	15	1
"289"	"Klf4"	10	1
"290"	"INSM1"	12	1
"291"	"NR4A2"	8	1
"292"	"Nr2e3"	7	1
"293"	"CDX2"	11	1
"294"	"DUX4"	11	1
"295"	"E2F4"	11	1
"296"	"E2F6"	11	1
"297"	"FOXH1"	11	1
"298"	"Foxo1"	11	1
"299"	"Hoxc9"	13	1
"300"	"Nr1h3Rxra"	19	1
"301"	"MAFF"	18	1
"302"	"NR2C2"	15	1
"303"	"NRF1"	11	1
"304"	"Sox3"	10	1
"305"	"Sox6"	10	1
"306"	"Stat5aStat5b"	11	1
"307"	"FOXA1"	15	1
"308"	"Myc"	10	1
"309"	"Mycn"	8	1
"310"	"Hoxa9"	11	1
"311"	"SREBF1"	10	1
"312"	"SREBF2"	10	1
"313"	"Creb3l2"	9	1
"314"	"Crem"	10	1
"315"	"DMRT3"	11	1
"316"	"EMX1"	10	1
"317"	"Gmeb1"	17	1
"318"	"Hes1"	10	1
"319"	"Hes2"	13	1
"320"	"mixa"	11	1
"321"	"Neurog1"	10	1
"322"	"Npas2"	10	1
"323"	"POU6F1"	10	1
"324"	"Rhox11"	17	1
"325"	"Six3"	17	1
"326"	"Tcfl5"	10	1
"327"	"BARHL2"	10	1
"328"	"BHLHE41"	10	1
"329"	"CENPB"	15	1
"330"	"CREB3"	14	1
"331"	"DBP"	12	1
"332"	"ELF4"	12	1
"333"	"ELF5"	11	1
"334"	"EN2"	10	1
"335"	"ESX1"	10	1
"336"	"FLI1"	10	1
"337"	"GCM1"	11	1
"338"	"GRHL1"	12	1
"339"	"HEY2"	10	1
"340"	"HINFP"	12	1
"341"	"HLF"	12	1
"342"	"HOXA13"	10	1
"343"	"HOXC11"	11	1
"344"	"HSF1"	13	1
"345"	"JDP2var2"	12	1
"346"	"KLF13"	18	1
"347"	"LHX6"	10	1
"348"	"MAFG"	21	1
"349"	"MEF2B"	12	1
"350"	"MEOX1"	10	1
"351"	"MIXL1"	10	1
"352"	"MLX"	10	1
"353"	"MLXIPL"	10	1
"354"	"NEUROD2"	10	1
"355"	"NEUROG2"	10	1
"356"	"NFIA"	10	1
"357"	"NFIX"	9	1
"358"	"NHLH1"	10	1
"359"	"NKX23"	10	1
"360"	"Nr2e1"	9	1
"361"	"Nr2f6"	14	1
"362"	"OLIG2"	10	1
"363"	"ONECUT1"	14	1
"364"	"PAX7"	10	1
"365"	"Phox2b"	11	1
"366"	"RUNX3"	10	1
"367"	"SPDEF"	11	1
"368"	"SPIC"	14	1
"369"	"SRF"	16	1
"370"	"TBX20"	11	1
"371"	"Vdr"	16	1
"372"	"ZBTB7B"	12	1
"373"	"ZBTB7C"	12	1
"374"	"LBX2"	10	1
"375"	"LHX2"	10	1
"376"	"MEOX2"	10	1
"377"	"MNX1"	10	1
"378"	"NKX32"	9	1
"379"	"NOTO"	10	1
"380"	"Nkx31"	9	1
"381"	"OTX1"	8	1
"382"	"PHOX2A"	11	1
"383"	"PROP1"	11	1
"384"	"RAX"	10	1
"385"	"VENTX"	9	1
"386"	"ESR1"	17	1
"387"	"ESRRB"	11	1
"388"	"Nr2f6var2"	15	1
"389"	"RARA"	18	1
"390"	"EGR2"	11	1
"391"	"EGR3"	15	1
"392"	"EGR4"	16	1
"393"	"GLI2"	12	1
"394"	"GLIS1"	16	1
"395"	"GLIS2"	14	1
"396"	"GLIS3"	14	1
"397"	"HIC2"	9	1
"398"	"Hic1"	9	1
"399"	"KLF14"	14	1
"400"	"KLF16"	11	1
"401"	"SCRT1"	15	1
"402"	"SCRT2"	13	1
"403"	"SP8"	12	1
"404"	"YY2"	11	1
"405"	"ZBED1"	13	1
"406"	"ZBTB7A"	12	1
"407"	"CUX1"	10	1
"408"	"CUX2"	10	1
"409"	"ONECUT2"	14	1
"410"	"E2F3"	18	1
"411"	"ELF1"	12	1
"412"	"ERF"	10	1
"413"	"ERG"	10	1
"414"	"ETS1"	10	1
"415"	"ETV2"	11	1
"416"	"ETV3"	10	1
"417"	"ETV5"	10	1
"418"	"FEV"	10	1
"419"	"GCM2"	10	1
"420"	"Tcf7"	12	1
"421"	"HSF2"	13	1
"422"	"MEF2A"	12	1
"423"	"MEF2D"	12	1
