"motif"	"motif length"	"p_value"
"225"	"SREBF2var2"	10	0.283740924332109
"226"	"Srebf1var2"	10	0.283740924332109
"227"	"MTF1"	14	0.283740924332109
"228"	"E2F8"	12	0.283740924332109
"229"	"Sox11"	15	0.283740924332109
"230"	"TFEC"	10	0.283740924332109
"231"	"Dlx1"	10	0.283740924332109
"232"	"HOXB13"	10	0.283740924332109
"233"	"Nr2e3"	7	0.289602388798683
"234"	"LBX1"	8	0.325546265303293
"235"	"SHOX"	8	0.325546265303293
"236"	"NKX62"	8	0.325546265303293
"237"	"Prrx2"	8	0.325546265303293
"238"	"PRRX1"	8	0.325546265303293
"239"	"ZNF263"	21	0.340361861505389
"240"	"NFIC"	6	0.429645899850701
"241"	"Nobox"	8	0.456367020946827
"242"	"Myod1"	13	0.456367020946827
"243"	"SPIC"	14	0.456367020946827
"244"	"MSX2"	8	0.456367020946827
"245"	"BSX"	8	0.456367020946827
"246"	"Sox17"	9	0.473731674199056
"247"	"ZEB1"	9	0.473731674199056
"248"	"NR4A2"	8	0.534499869119724
"249"	"RREB1"	20	0.688641971240542
"250"	"MEIS1"	7	0.692475446869198
"251"	"ZNF354C"	6	0.703653827462799
"252"	"MZF1"	6	0.725696802854331
"253"	"NFIL3"	11	0.729712299974387
"254"	"Hand1Tcf3"	10	0.729712299974387
"255"	"RUNX1"	11	0.729712299974387
"256"	"CREB1"	8	0.729712299974387
"257"	"NFYB"	15	0.729712299974387
"258"	"Nkx25var2"	11	0.729712299974387
"259"	"Gata1"	11	0.729712299974387
"260"	"GATA2"	14	0.729712299974387
"261"	"Arid5a"	14	0.729712299974387
"262"	"LIN54"	9	0.729712299974387
"263"	"EBF1"	14	0.729712299974387
"264"	"IRF9"	15	0.729712299974387
"265"	"MSC"	10	0.729712299974387
"266"	"MYF6"	10	0.729712299974387
"267"	"TFAP4"	10	0.729712299974387
"268"	"NR2F1"	13	0.729712299974387
"269"	"PKNOX1"	12	0.729712299974387
"270"	"POU3F3"	13	0.729712299974387
"271"	"TBR1"	10	0.729712299974387
"272"	"Tcf21"	14	0.729712299974387
"273"	"GSX2"	10	0.729712299974387
"274"	"MGA"	8	0.756653057200525
"275"	"TBX15"	8	0.756653057200525
"276"	"TBX1"	8	0.756653057200525
"277"	"TBX4"	8	0.756653057200525
"278"	"TBX5"	8	0.756653057200525
"279"	"SOX10"	6	0.78271286519335
"280"	"UNCX"	8	0.805187993433999
"281"	"RFX4"	16	0.805187993433999
"282"	"Rfx1"	14	0.840063688109515
"283"	"EGR1"	14	0.840063688109515
"284"	"SPI1"	14	0.840063688109515
"285"	"VSX1"	8	0.840063688109515
"286"	"TEAD3"	8	0.840063688109515
"287"	"FOXF2"	14	1
"288"	"MZF1var2"	10	1
"289"	"MAXMYC"	11	1
"290"	"Pax2"	8	1
"291"	"Pax6"	14	1
"292"	"PBX1"	12	1
"293"	"RORA"	10	1
"294"	"RORAvar2"	14	1
"295"	"RXRAVDR"	15	1
"296"	"SOX9"	9	1
"297"	"TAL1TCF3"	12	1
"298"	"REL"	10	1
"299"	"TBP"	15	1
"300"	"Znf423"	15	1
"301"	"Lhx3"	13	1
"302"	"Pou5f1Sox2"	15	1
"303"	"INSM1"	12	1
"304"	"RARARXRA"	17	1
"305"	"Crx"	11	1
"306"	"DUX4"	11	1
"307"	"E2F4"	11	1
"308"	"E2F6"	11	1
"309"	"FOXH1"	11	1
"310"	"Foxo1"	11	1
"311"	"FOXP1"	15	1
"312"	"Gfi1b"	11	1
"313"	"HNF4G"	15	1
"314"	"Hoxc9"	13	1
"315"	"JUNDvar2"	15	1
"316"	"MAFF"	18	1
"317"	"NRF1"	11	1
"318"	"POU2F2"	13	1
"319"	"SMAD2SMAD3SMAD4"	13	1
"320"	"Sox3"	10	1
"321"	"Sox6"	10	1
"322"	"ZBTB33"	15	1
"323"	"CEBPA"	11	1
"324"	"ESR2"	15	1
"325"	"FOXA1"	15	1
"326"	"Myc"	10	1
"327"	"FOXP2"	11	1
"328"	"Hoxa9"	11	1
"329"	"SREBF1"	10	1
"330"	"SREBF2"	10	1
"331"	"Arntl"	10	1
"332"	"Atf1"	8	1
"333"	"Creb3l2"	9	1
"334"	"Crem"	10	1
"335"	"DMRT3"	11	1
"336"	"EMX1"	10	1
"337"	"Gmeb1"	17	1
"338"	"Hes1"	10	1
"339"	"Hes2"	13	1
"340"	"mixa"	11	1
"341"	"Neurog1"	10	1
"342"	"Npas2"	10	1
"343"	"POU6F1"	10	1
"344"	"Six3"	17	1
"345"	"Tcfl5"	10	1
"346"	"ALX3"	10	1
